taxon_concept_id,rank,ancestors_taxon_concepts_ids,preferred_scientific_names,preferred_common_names,hierarchy_entry_id,resource_name,content_provider_name,identifier
"","","","","",1227,NMNH Botany Elevation Data (Summarized),,Bromus_diandrus_Roth
1224,species,"162,1215",Bromus dolichocarpus Wagnon,"",,,,
"","","","","",1228,NMNH Botany Elevation Data (Summarized),,Bromus_dolichocarpus_Wagnon
1225,species,"162,1215",Bromus exaltatus Bernhardi,"",,,,
"","","","","",1229,NMNH Botany Elevation Data (Summarized),,Bromus_exaltatus_Bernhardi
1226,species,"162,1215",Bromus frondosus (Shear) Wooton & Standl.,"",,,,
"","","","","",1230,NMNH Botany Elevation Data (Summarized),,Bromus_frondosus_(Shear)_Wooton_&_Standl.
1227,species,"162,1215",Bromus hordeaceus L.,"",,,,
"","","","","",1231,NMNH Botany Elevation Data (Summarized),,Bromus_hordeaceus_L.
1228,species,"162,1215",Bromus inermis Leyss.,"",,,,
"","","","","",1232,NMNH Botany Elevation Data (Summarized),,Bromus_inermis_Leyss.
1229,species,"162,1215",Bromus lanatus Kunth,"",,,,
"","","","","",1233,NMNH Botany Elevation Data (Summarized),,Bromus_lanatus_Kunth
1230,species,"162,1215",Bromus pitensis Kunth,"",,,,
"","","","","",1234,NMNH Botany Elevation Data (Summarized),,Bromus_pitensis_Kunth
1231,species,"162,1215",Bromus porteri (J.M. Coult.) Nash,"",,,,
"","","","","",1235,NMNH Botany Elevation Data (Summarized),,Bromus_porteri_(J.M._Coult.)_Nash
1232,species,"162,1215",Bromus pubescens Muhl. ex Willd.,"",,,,
"","","","","",1236,NMNH Botany Elevation Data (Summarized),,Bromus_pubescens_Muhl._ex_Willd.
1233,species,"162,1215",Bromus pumpellianus Scribn.,"",,,,
"","","","","",1237,NMNH Botany Elevation Data (Summarized),,Bromus_pumpellianus_Scribn.
1234,species,"162,1215",Bromus richardsonii Link,"",,,,
"","","","","",1238,NMNH Botany Elevation Data (Summarized),,Bromus_richardsonii_Link
1235,species,"162,1215",Bromus rubens L.,"",,,,
"","","","","",1239,NMNH Botany Elevation Data (Summarized),,Bromus_rubens_L.
1236,species,"162,1215",Bromus tectorum L.,"",,,,
"","","","","",1240,NMNH Botany Elevation Data (Summarized),,Bromus_tectorum_L.
1237,species,"162,1215",Bromus vulgaris (Hook.) Shear,"",,,,
"","","","","",1241,NMNH Botany Elevation Data (Summarized),,Bromus_vulgaris_(Hook.)_Shear
1238,genus,162,"","",,,,
"","","","","",1242,,,""
1239,species,"162,1238",Broussaisia arguta Gaudich.,"",,,,
"","","","","",1243,NMNH Botany Elevation Data (Summarized),,Broussaisia_arguta_Gaudich.
1240,genus,162,"","",,,,
"","","","","",1244,,,""
1241,species,"162,1240",Broussonetia papyrifera (L.) L'Hér. ex Vent.,"",,,,
"","","","","",1245,NMNH Botany Elevation Data (Summarized),,Broussonetia_papyrifera_(L.)_L'Hér._ex_Vent.
1242,genus,162,"","",,,,
"","","","","",1246,,,""
1243,species,"162,1242",Browallia americana L.,"",,,,
"","","","","",1247,NMNH Botany Elevation Data (Summarized),,Browallia_americana_L.
1244,genus,162,"","",,,,
"","","","","",1248,,,""
1245,species,"162,1244",Brownea ariza Benth.,"",,,,
"","","","","",1249,NMNH Botany Elevation Data (Summarized),,Brownea_ariza_Benth.
1246,species,"162,1244",Brownea coccinea Jacq.,"",,,,
"","","","","",1250,NMNH Botany Elevation Data (Summarized),,Brownea_coccinea_Jacq.
1247,species,"162,1244",Brownea grandiceps Jacq.,"",,,,
"","","","","",1251,NMNH Botany Elevation Data (Summarized),,Brownea_grandiceps_Jacq.
1248,species,"162,1244",Brownea latifolia Jacq.,"",,,,
"","","","","",1252,NMNH Botany Elevation Data (Summarized),,Brownea_latifolia_Jacq.
1249,species,"162,1244",Brownea multijuga Britton & Killip,"",,,,
"","","","","",1253,NMNH Botany Elevation Data (Summarized),,Brownea_multijuga_Britton_&_Killip
1250,species,"162,1244",Brownea rosa-de-monte P.J. Bergius,"",,,,
"","","","","",1254,NMNH Botany Elevation Data (Summarized),,Brownea_rosa-de-monte_P.J._Bergius
1251,genus,162,"","",,,,
"","","","","",1255,,,""
1252,species,"162,1251",Bruguiera gymnorhiza (L.) Lam.,"",,,,
"","","","","",1256,NMNH Botany Elevation Data (Summarized),,Bruguiera_gymnorhiza_(L.)_Lam.
1253,genus,162,"","",,,,
"","","","","",1257,,,""
1254,species,"162,1253",Brya buxifolia (Murray) Urb.,"",,,,
"","","","","",1258,NMNH Botany Elevation Data (Summarized),,Brya_buxifolia_(Murray)_Urb.
1255,genus,162,"","",,,,
"","","","","",1259,,,""
1256,species,"162,1255",Buchenavia tetraphylla (Aubl.) R.A. Howard,"",,,,
"","","","","",1260,NMNH Botany Elevation Data (Summarized),,Buchenavia_tetraphylla_(Aubl.)_R.A._Howard
1257,genus,162,"","",,,,
"","","","","",1261,,,""
1258,species,"162,1257",Buchloe dactyloides (Nutt.) Engelm.,"",,,,
"","","","","",1262,NMNH Botany Elevation Data (Summarized),,Buchloe_dactyloides_(Nutt.)_Engelm.
1259,genus,162,"","",,,,
"","","","","",1263,,,""
1260,species,"162,1259",Buchnera longifolia Kunth,"",,,,
"","","","","",1264,NMNH Botany Elevation Data (Summarized),,Buchnera_longifolia_Kunth
1261,genus,162,"","",,,,
"","","","","",1265,,,""
1262,species,"162,1261",Bucida buceras L.,"",,,,
"","","","","",1266,NMNH Botany Elevation Data (Summarized),,Bucida_buceras_L.
1263,genus,162,"","",,,,
"","","","","",1267,,,""
1264,species,"162,1263",Buddleja americana L.,"",,,,
"","","","","",1268,NMNH Botany Elevation Data (Summarized),,Buddleja_americana_L.
1265,species,"162,1263",Buddleja asiatica Lour.,"",,,,
"","","","","",1269,NMNH Botany Elevation Data (Summarized),,Buddleja_asiatica_Lour.
1266,species,"162,1263",Buddleja domingensis Urb.,"",,,,
"","","","","",1270,NMNH Botany Elevation Data (Summarized),,Buddleja_domingensis_Urb.
1267,genus,162,"","",,,,
"","","","","",1271,,,""
1268,species,"162,1267",Bulbostylis juncoides (Vahl) Kük. & Osten,"",,,,
"","","","","",1272,NMNH Botany Elevation Data (Summarized),,Bulbostylis_juncoides_(Vahl)_Kük._&_Osten
1269,species,"162,1267",Bulbostylis subaphylla C.B. Clarke,"",,,,
"","","","","",1273,NMNH Botany Elevation Data (Summarized),,Bulbostylis_subaphylla_C.B._Clarke
1270,genus,162,"","",,,,
"","","","","",1274,,,""
1271,species,"162,1270",Bunchosia glandulosa (Cav.) DC.,"",,,,
"","","","","",1275,NMNH Botany Elevation Data (Summarized),,Bunchosia_glandulosa_(Cav.)_DC.
1272,species,"162,1270",Bunchosia glandulosa (Cav.) Rich. ex Juss.,"",,,,
"","","","","",1276,NMNH Botany Elevation Data (Summarized),,Bunchosia_glandulosa_(Cav.)_Rich._ex_Juss.
1273,species,"162,1270",Bunchosia polystachya (Andrews) DC.,"",,,,
"","","","","",1277,NMNH Botany Elevation Data (Summarized),,Bunchosia_polystachya_(Andrews)_DC.
1274,species,"162,1270",Bunchosia swartziana Griseb.,"",,,,
"","","","","",1278,NMNH Botany Elevation Data (Summarized),,Bunchosia_swartziana_Griseb.
1275,genus,162,"","",,,,
"","","","","",1279,,,""
1276,species,"162,1275",Burmannia bicolor Mart.,"",,,,
"","","","","",1280,NMNH Botany Elevation Data (Summarized),,Burmannia_bicolor_Mart.
1277,species,"162,1275",Burmannia capitata (Walter ex J.F. Gmel.) Mart.,"",,,,
"","","","","",1281,NMNH Botany Elevation Data (Summarized),,Burmannia_capitata_(Walter_ex_J.F._Gmel.)_Mart.
1278,species,"162,1275",Burmannia disticha L.,"",,,,
"","","","","",1282,NMNH Botany Elevation Data (Summarized),,Burmannia_disticha_L.
1279,genus,162,"","",,,,
"","","","","",1283,,,""
1280,species,"162,1279",Bursera microphylla A. Gray,"",,,,
"","","","","",1284,NMNH Botany Elevation Data (Summarized),,Bursera_microphylla_A._Gray
1281,species,"162,1279",Bursera simaruba (L.) Sarg.,"",,,,
"","","","","",1285,NMNH Botany Elevation Data (Summarized),,Bursera_simaruba_(L.)_Sarg.
1282,genus,162,"","",,,,
"","","","","",1286,,,""
1283,species,"162,1282",Butia capitata (Mart.) Becc.,"",,,,
"","","","","",1287,NMNH Botany Elevation Data (Summarized),,Butia_capitata_(Mart.)_Becc.
1284,genus,162,"","",,,,
"","","","","",1288,,,""
1285,species,"162,1284",Buxus glomerata (Griseb.) Müll. Arg.,"",,,,
"","","","","",1289,NMNH Botany Elevation Data (Summarized),,Buxus_glomerata_(Griseb.)_Müll._Arg.
1286,genus,162,"","",,,,
"","","","","",1290,,,""
1287,species,"162,1286",Byrsonima crassifolia (L.) Kunth,"",,,,
"","","","","",1291,NMNH Botany Elevation Data (Summarized),,Byrsonima_crassifolia_(L.)_Kunth
1288,species,"162,1286",Byrsonima lucida (Mill.) DC.,"",,,,
"","","","","",1292,NMNH Botany Elevation Data (Summarized),,Byrsonima_lucida_(Mill.)_DC.
1289,species,"162,1286",Byrsonima spicata (Cav.) DC.,"",,,,
"","","","","",1293,NMNH Botany Elevation Data (Summarized),,Byrsonima_spicata_(Cav.)_DC.
1290,species,"162,1286",Byrsonima trinitensis A. Juss.,"",,,,
"","","","","",1294,NMNH Botany Elevation Data (Summarized),,Byrsonima_trinitensis_A._Juss.
1291,genus,162,"","",,,,
"","","","","",1295,,,""
1292,species,"162,1291",Byttneria parviflora Benth.,"",,,,
"","","","","",1296,NMNH Botany Elevation Data (Summarized),,Byttneria_parviflora_Benth.
1293,species,"162,1291",Byttneria schunkei Cristóbal,"",,,,
"","","","","",1297,NMNH Botany Elevation Data (Summarized),,Byttneria_schunkei_Cristóbal
1294,genus,162,"","",,,,
"","","","","",1298,,,""
1295,variety,"162,1294",Cacosmia rugosa var. nivea Hieron.,"",,,,
"","","","","",1299,NMNH Botany Elevation Data (Summarized),,Cacosmia_rugosa_var._nivea_Hieron.
1296,genus,162,"","",,,,
"","","","","",1300,,,""
1297,species,"162,1296",Caesalpinia cassioides Willd.,"",,,,
"","","","","",1301,NMNH Botany Elevation Data (Summarized),,Caesalpinia_cassioides_Willd.
1298,species,"162,1296",Caesalpinia decapetala (Roth) Alston,"",,,,
"","","","","",1302,NMNH Botany Elevation Data (Summarized),,Caesalpinia_decapetala_(Roth)_Alston
1299,species,"162,1296",Caesalpinia major (Medic.) Dandy & Exell,"",,,,
"","","","","",1303,NMNH Botany Elevation Data (Summarized),,Caesalpinia_major_(Medic.)_Dandy_&_Exell
1300,species,"162,1296",Caesalpinia paraguariensis (Parodi) Burkart,"",,,,
"","","","","",1304,NMNH Botany Elevation Data (Summarized),,Caesalpinia_paraguariensis_(Parodi)_Burkart
1301,species,"162,1296",Caesalpinia pulcherrima (L.) Sw.,"",,,,
"","","","","",1305,NMNH Botany Elevation Data (Summarized),,Caesalpinia_pulcherrima_(L.)_Sw.
1302,genus,162,"","",,,,
"","","","","",1306,,,""
1303,species,"162,1302",Cajanus cajan (L.) Huth,"",,,,
"","","","","",1307,NMNH Botany Elevation Data (Summarized),,Cajanus_cajan_(L.)_Huth
1304,genus,162,"","",,,,
"","","","","",1308,,,""
1305,species,"162,1304",Calamagrostis antoniana (Griseb.) Steud.,"",,,,
"","","","","",1309,NMNH Botany Elevation Data (Summarized),,Calamagrostis_antoniana_(Griseb.)_Steud.
1306,species,"162,1304",Calamagrostis breviaristata (Wedd.) Pilg.,"",,,,
"","","","","",1310,NMNH Botany Elevation Data (Summarized),,Calamagrostis_breviaristata_(Wedd.)_Pilg.
1307,species,"162,1304",Calamagrostis canadensis (Michx.) P. Beauv.,"",,,,
"","","","","",1311,NMNH Botany Elevation Data (Summarized),,Calamagrostis_canadensis_(Michx.)_P._Beauv.
1308,variety,"162,1304",Calamagrostis canadensis var. langsdorfii (Link) Inman,"",,,,
"","","","","",1312,NMNH Botany Elevation Data (Summarized),,Calamagrostis_canadensis_var._langsdorfii_(Link)_Inman
1309,species,"162,1304",Calamagrostis crispa (Rúgolo & Villavicencio) Soreng,"",,,,
"","","","","",1313,NMNH Botany Elevation Data (Summarized),,Calamagrostis_crispa_(Rúgolo_&_Villavicencio)_Soreng
1310,species,"162,1304",Calamagrostis curvula (Wedd.) Pilg.,"",,,,
"","","","","",1314,NMNH Botany Elevation Data (Summarized),,Calamagrostis_curvula_(Wedd.)_Pilg.
1311,species,"162,1304",Calamagrostis erectifolia Hitchc.,"",,,,
"","","","","",1315,NMNH Botany Elevation Data (Summarized),,Calamagrostis_erectifolia_Hitchc.
1312,species,"162,1304",Calamagrostis heterophylla (Wedd.) Pilg.,"",,,,
"","","","","",1316,NMNH Botany Elevation Data (Summarized),,Calamagrostis_heterophylla_(Wedd.)_Pilg.
1313,species,"162,1304",Calamagrostis intermedia (J. Presl) Steud.,"",,,,
"","","","","",1317,NMNH Botany Elevation Data (Summarized),,Calamagrostis_intermedia_(J._Presl)_Steud.
1314,species,"162,1304",Calamagrostis lapponica (Wahlenb.) Hartm.,"",,,,
"","","","","",1318,NMNH Botany Elevation Data (Summarized),,Calamagrostis_lapponica_(Wahlenb.)_Hartm.
1315,species,"162,1304",Calamagrostis purpurascens R. Br.,"",,,,
"","","","","",1319,NMNH Botany Elevation Data (Summarized),,Calamagrostis_purpurascens_R._Br.
1316,species,"162,1304",Calamagrostis rigescens (J. Presl) Scribn.,"",,,,
"","","","","",1320,NMNH Botany Elevation Data (Summarized),,Calamagrostis_rigescens_(J._Presl)_Scribn.
1317,species,"162,1304",Calamagrostis tolucensis (Kunth) Trin. ex Steud.,"",,,,
"","","","","",1321,NMNH Botany Elevation Data (Summarized),,Calamagrostis_tolucensis_(Kunth)_Trin._ex_Steud.
1318,species,"162,1304",Calamagrostis vicunarum (Wedd.) Pilg.,"",,,,
"","","","","",1322,NMNH Botany Elevation Data (Summarized),,Calamagrostis_vicunarum_(Wedd.)_Pilg.
1319,species,"162,1304",Calamagrostis violacea (Wedd.) Pilg.,"",,,,
"","","","","",1323,NMNH Botany Elevation Data (Summarized),,Calamagrostis_violacea_(Wedd.)_Pilg.
1320,genus,162,"","",,,,
"","","","","",1324,,,""
1321,species,"162,1320",Calathea altissima (Poepp. & Endl.) Körn.,"",,,,
"","","","","",1325,NMNH Botany Elevation Data (Summarized),,Calathea_altissima_(Poepp._&_Endl.)_Körn.
1322,species,"162,1320",Calathea capitata (Ruiz & Pav.) Lindl.,"",,,,
"","","","","",1326,NMNH Botany Elevation Data (Summarized),,Calathea_capitata_(Ruiz_&_Pav.)_Lindl.
1323,species,"162,1320",Calathea casupito (Jacq.) Schult.,"",,,,
"","","","","",1327,NMNH Botany Elevation Data (Summarized),,Calathea_casupito_(Jacq.)_Schult.
1324,species,"162,1320",Calathea crotalifera S. Watson,"",,,,
"","","","","",1328,NMNH Botany Elevation Data (Summarized),,Calathea_crotalifera_S._Watson
1325,species,"162,1320",Calathea cyclophora Baker,"",,,,
"","","","","",1329,NMNH Botany Elevation Data (Summarized),,Calathea_cyclophora_Baker
1326,species,"162,1320",Calathea guzmanioides L.B. Sm. & Idrobo,"",,,,
"","","","","",1330,NMNH Botany Elevation Data (Summarized),,Calathea_guzmanioides_L.B._Sm._&_Idrobo
1327,species,"162,1320",Calathea inocephala (Kuntze) H. Kenn. & Nicolson,"",,,,
"","","","","",1331,NMNH Botany Elevation Data (Summarized),,Calathea_inocephala_(Kuntze)_H._Kenn._&_Nicolson
1328,species,"162,1320",Calathea latifolia (Willd. ex Link) Klotzsch,"",,,,
"","","","","",1332,NMNH Botany Elevation Data (Summarized),,Calathea_latifolia_(Willd._ex_Link)_Klotzsch
1329,species,"162,1320",Calathea lutea Schult.,"",,,,
"","","","","",1333,NMNH Botany Elevation Data (Summarized),,Calathea_lutea_Schult.
1330,variety,"162,1320",Calathea macrosepala var. macrosepala K. Schum.,"",,,,
"","","","","",1334,NMNH Botany Elevation Data (Summarized),,Calathea_macrosepala_var._macrosepala_K._Schum.
1331,species,"162,1320",Calathea marantifolia Standl.,"",,,,
"","","","","",1335,NMNH Botany Elevation Data (Summarized),,Calathea_marantifolia_Standl.
1332,species,"162,1320",Calathea micans (L. Mathieu) Körn.,"",,,,
"","","","","",1336,NMNH Botany Elevation Data (Summarized),,Calathea_micans_(L._Mathieu)_Körn.
1333,species,"162,1320",Calathea panamensis Rowlee,"",,,,
"","","","","",1337,NMNH Botany Elevation Data (Summarized),,Calathea_panamensis_Rowlee
1334,genus,162,"","",,,,
"","","","","",1338,,,""
1335,species,"162,1334",Calceolaria tripartita Ruiz & Pav.,"",,,,
"","","","","",1339,NMNH Botany Elevation Data (Summarized),,Calceolaria_tripartita_Ruiz_&_Pav.
1336,genus,162,"","",,,,
"","","","","",1340,,,""
1337,species,"162,1336",Callaeum septentrionale (A. Juss.) D.M. Johnson,"",,,,
"","","","","",1341,NMNH Botany Elevation Data (Summarized),,Callaeum_septentrionale_(A._Juss.)_D.M._Johnson
1338,genus,162,"","",,,,
"","","","","",1342,,,""
1339,species,"162,1338",Calliandra haematomma (Bertero ex DC.) Benth.,"",,,,
"","","","","",1343,NMNH Botany Elevation Data (Summarized),,Calliandra_haematomma_(Bertero_ex_DC.)_Benth.
1340,species,"162,1338",Calliandra purpurea (L.) Benth.,"",,,,
"","","","","",1344,NMNH Botany Elevation Data (Summarized),,Calliandra_purpurea_(L.)_Benth.
1341,variety,"162,1338",Calliandra tergemina var. tergemina (L.) Benth.,"",,,,
"","","","","",1345,NMNH Botany Elevation Data (Summarized),,Calliandra_tergemina_var._tergemina_(L.)_Benth.
1342,genus,162,"","",,,,
"","","","","",1346,,,""
1343,species,"162,1342",Callianthe dianthum,"",,,,
"","","","","",1347,NMNH Botany Elevation Data (Summarized),,Callianthe_dianthum
1344,species,"162,1342",Callianthe sylvaticum,"",,,,
"","","","","",1348,NMNH Botany Elevation Data (Summarized),,Callianthe_sylvaticum
1345,genus,162,"","",,,,
"","","","","",1349,,,""
1346,species,"162,1345",Callisia cordifolia (Sw.) E.S. Anderson & Woodson,"",,,,
"","","","","",1350,NMNH Botany Elevation Data (Summarized),,Callisia_cordifolia_(Sw.)_E.S._Anderson_&_Woodson
1347,species,"162,1345",Callisia filiformis (M. Martens & Galeotti) D.R. Hunt,"",,,,
"","","","","",1351,NMNH Botany Elevation Data (Summarized),,Callisia_filiformis_(M._Martens_&_Galeotti)_D.R._Hunt
1348,species,"162,1345",Callisia fragrans (Lindl.) Woodson,"",,,,
"","","","","",1352,NMNH Botany Elevation Data (Summarized),,Callisia_fragrans_(Lindl.)_Woodson
1349,species,"162,1345",Callisia gracilis (Kunth) D.R. Hunt,"",,,,
"","","","","",1353,NMNH Botany Elevation Data (Summarized),,Callisia_gracilis_(Kunth)_D.R._Hunt
1350,species,"162,1345",Callisia monandra (Sw.) Schult. & Schult. f.,"",,,,
"","","","","",1354,NMNH Botany Elevation Data (Summarized),,Callisia_monandra_(Sw.)_Schult._&_Schult._f.
1351,species,"162,1345",Callisia multiflora (M. Martens & Galeotti) Standl.,"",,,,
"","","","","",1355,NMNH Botany Elevation Data (Summarized),,Callisia_multiflora_(M._Martens_&_Galeotti)_Standl.
1352,species,"162,1345",Callisia repens (Jacq.) L.,"",,,,
"","","","","",1356,NMNH Botany Elevation Data (Summarized),,Callisia_repens_(Jacq.)_L.
1353,genus,162,"","",,,,
"","","","","",1357,,,""
1354,species,"162,1353",Calochortus barbatus Painter,"",,,,
"","","","","",1358,NMNH Botany Elevation Data (Summarized),,Calochortus_barbatus_Painter
1355,genus,162,"","",,,,
"","","","","",1359,,,""
1356,species,"162,1355",Calophyllum antillanum Britton,"",,,,
"","","","","",1360,NMNH Botany Elevation Data (Summarized),,Calophyllum_antillanum_Britton
1357,species,"162,1355",Calophyllum calaba L.,"",,,,
"","","","","",1361,NMNH Botany Elevation Data (Summarized),,Calophyllum_calaba_L.
1358,species,"162,1355",Calophyllum inophyllum L.,"",,,,
"","","","","",1362,NMNH Botany Elevation Data (Summarized),,Calophyllum_inophyllum_L.
1359,genus,162,"","",,,,
"","","","","",1363,,,""
1360,species,"162,1359",Calopogonium mucunoides Desv.,"",,,,
"","","","","",1364,NMNH Botany Elevation Data (Summarized),,Calopogonium_mucunoides_Desv.
1361,genus,162,"","",,,,
"","","","","",1365,,,""
1362,species,"162,1361",Caltha palustris L.,"",,,,
"","","","","",1366,NMNH Botany Elevation Data (Summarized),,Caltha_palustris_L.
1363,genus,162,"","",,,,
"","","","","",1367,,,""
1364,species,"162,1363",Calycogonium calycopteris (Rich.) Urb.,"",,,,
"","","","","",1368,NMNH Botany Elevation Data (Summarized),,Calycogonium_calycopteris_(Rich.)_Urb.
1365,species,"162,1363",Calycogonium hispidulum Cogn.,"",,,,
"","","","","",1369,NMNH Botany Elevation Data (Summarized),,Calycogonium_hispidulum_Cogn.
1366,genus,162,"","",,,,
"","","","","",1370,,,""
1367,species,"162,1366",Calyptocarpus vialis Less.,"",,,,
"","","","","",1371,NMNH Botany Elevation Data (Summarized),,Calyptocarpus_vialis_Less.
1368,genus,162,"","",,,,
"","","","","",1372,,,""
1369,species,"162,1368",Calyptranthes fasciculata O. Berg,"",,,,
"","","","","",1373,NMNH Botany Elevation Data (Summarized),,Calyptranthes_fasciculata_O._Berg
1370,species,"162,1368",Calyptranthes pallens Griseb.,"",,,,
"","","","","",1374,NMNH Botany Elevation Data (Summarized),,Calyptranthes_pallens_Griseb.
1371,species,"162,1368",Calyptranthes syzygium Sw.,"",,,,
"","","","","",1375,NMNH Botany Elevation Data (Summarized),,Calyptranthes_syzygium_Sw.
1372,species,"162,1368",Calyptranthes zuzygium (L.) Sw.,"",,,,
"","","","","",1376,NMNH Botany Elevation Data (Summarized),,Calyptranthes_zuzygium_(L.)_Sw.
1373,genus,162,"","",,,,
"","","","","",1377,,,""
1374,species,"162,1373",Calyptrocarya glomerulata (Brongn.) Urb.,"",,,,
"","","","","",1378,NMNH Botany Elevation Data (Summarized),,Calyptrocarya_glomerulata_(Brongn.)_Urb.
1375,genus,162,"","",,,,
"","","","","",1379,,,""
1376,species,"162,1375",Calyptrogyne ghiesbreghtiana (B.L. Linden & H. Wendl.) H. Wendl.,"",,,,
"","","","","",1380,NMNH Botany Elevation Data (Summarized),,Calyptrogyne_ghiesbreghtiana_(B.L._Linden_&_H._Wendl.)_H._Wendl.
1377,genus,162,"","",,,,
"","","","","",1381,,,""
1378,species,"162,1377",Calyptronoma plumeriana (Mart.) Lourteig,"",,,,
"","","","","",1382,NMNH Botany Elevation Data (Summarized),,Calyptronoma_plumeriana_(Mart.)_Lourteig
1379,species,"162,1377",Calyptronoma rivalis (O.F. Cook) L.H. Bailey,"",,,,
"","","","","",1383,NMNH Botany Elevation Data (Summarized),,Calyptronoma_rivalis_(O.F._Cook)_L.H._Bailey
1380,genus,162,"","",,,,
"","","","","",1384,,,""
1381,species,"162,1380",Cambajuva ulei (Hack.) P.L. Viana & et al.,"",,,,
"","","","","",1385,NMNH Botany Elevation Data (Summarized),,Cambajuva_ulei_(Hack.)_P.L._Viana_&_et_al.
1382,genus,162,"","",,,,
"","","","","",1386,,,""
1383,species,"162,1382",Camellia assamica (J.W. Mast.) Hung T. Chang,"",,,,
"","","","","",1387,NMNH Botany Elevation Data (Summarized),,Camellia_assamica_(J.W._Mast.)_Hung_T._Chang
1384,species,"162,1382",Camellia japonica L.,"",,,,
"","","","","",1388,NMNH Botany Elevation Data (Summarized),,Camellia_japonica_L.
1385,species,"162,1382",Camellia oleifera Abel,"",,,,
"","","","","",1389,NMNH Botany Elevation Data (Summarized),,Camellia_oleifera_Abel
1386,species,"162,1382",Camellia saluenensis Stapf ex Bean,"",,,,
"","","","","",1390,NMNH Botany Elevation Data (Summarized),,Camellia_saluenensis_Stapf_ex_Bean
1387,species,"162,1382",Camellia sinensis (L.) Kuntze,"",,,,
"","","","","",1391,NMNH Botany Elevation Data (Summarized),,Camellia_sinensis_(L.)_Kuntze
1388,genus,162,"","",,,,
"","","","","",1392,,,""
1389,species,"162,1388",Campanula americana L.,"",,,,
"","","","","",1393,NMNH Botany Elevation Data (Summarized),,Campanula_americana_L.
1390,species,"162,1388",Campanula divaricata Michx.,"",,,,
"","","","","",1394,NMNH Botany Elevation Data (Summarized),,Campanula_divaricata_Michx.
1391,species,"162,1388",Campanula lasiocarpa Cham.,"",,,,
"","","","","",1395,NMNH Botany Elevation Data (Summarized),,Campanula_lasiocarpa_Cham.
1392,species,"162,1388",Campanula parryi A. Gray,"",,,,
"","","","","",1396,NMNH Botany Elevation Data (Summarized),,Campanula_parryi_A._Gray
1393,species,"162,1388",Campanula planiflora Engelm.,"",,,,
"","","","","",1397,NMNH Botany Elevation Data (Summarized),,Campanula_planiflora_Engelm.
1394,species,"162,1388",Campanula prenanthoides Durand,"",,,,
"","","","","",1398,NMNH Botany Elevation Data (Summarized),,Campanula_prenanthoides_Durand
1395,species,"162,1388",Campanula rotundifolia L.,"",,,,
"","","","","",1399,NMNH Botany Elevation Data (Summarized),,Campanula_rotundifolia_L.
1396,species,"162,1388",Campanula scouleri Hook.,"",,,,
"","","","","",1400,NMNH Botany Elevation Data (Summarized),,Campanula_scouleri_Hook.
1397,species,"162,1388",Campanula uniflora L.,"",,,,
"","","","","",1401,NMNH Botany Elevation Data (Summarized),,Campanula_uniflora_L.
1398,genus,162,"","",,,,
"","","","","",1402,,,""
1399,species,"162,1398",Campyloneurum angustifolium (Sw.) Fée,"",,,,
"","","","","",1403,NMNH Botany Elevation Data (Summarized),,Campyloneurum_angustifolium_(Sw.)_Fée
1400,subspecies,"162,1398",Campyloneurum angustifolium subsp. amphostenon (Kunze ex Klotzsch) B. León,"",,,,
"","","","","",1404,NMNH Botany Elevation Data (Summarized),,Campyloneurum_angustifolium_subsp._amphostenon_(Kunze_ex_Klotzsch)_B._León
1401,species,"162,1398",Campyloneurum cubense Fée,"",,,,
"","","","","",1405,NMNH Botany Elevation Data (Summarized),,Campyloneurum_cubense_Fée
1402,species,"162,1398",Campyloneurum latum T. Moore,"",,,,
"","","","","",1406,NMNH Botany Elevation Data (Summarized),,Campyloneurum_latum_T._Moore
1403,species,"162,1398",Campyloneurum phyllitidis (L.) C. Presl,"",,,,
"","","","","",1407,NMNH Botany Elevation Data (Summarized),,Campyloneurum_phyllitidis_(L.)_C._Presl
1404,species,"162,1398",Campyloneurum vulpinum (Lindm.) Ching,"",,,,
"","","","","",1408,NMNH Botany Elevation Data (Summarized),,Campyloneurum_vulpinum_(Lindm.)_Ching
1405,genus,162,"","",,,,
"","","","","",1409,,,""
1406,species,"162,1405",Cananga odorata (Lam.) Hook. f. & Thomson,"",,,,
"","","","","",1410,NMNH Botany Elevation Data (Summarized),,Cananga_odorata_(Lam.)_Hook._f._&_Thomson
1407,genus,162,"","",,,,
"","","","","",1411,,,""
1408,variety,"162,1407",Canarium harveyi var. novae-herbidense,"",,,,
"","","","","",1412,NMNH Botany Elevation Data (Summarized),,Canarium_harveyi_var._novae-herbidense
1409,genus,162,"","",,,,
"","","","","",1413,,,""
1410,species,"162,1409",Canavalia galeata,"",,,,
"","","","","",1414,NMNH Botany Elevation Data (Summarized),,Canavalia_galeata
1411,species,"162,1409",Canavalia kauaiensis J.D. Sauer,"",,,,
"","","","","",1415,NMNH Botany Elevation Data (Summarized),,Canavalia_kauaiensis_J.D._Sauer
1412,species,"162,1409",Canavalia nitida (Cav.) Piper,"",,,,
"","","","","",1416,NMNH Botany Elevation Data (Summarized),,Canavalia_nitida_(Cav.)_Piper
1413,species,"162,1409",Canavalia rosea (Sw.) DC.,"",,,,
"","","","","",1417,NMNH Botany Elevation Data (Summarized),,Canavalia_rosea_(Sw.)_DC.
1414,genus,162,"","",,,,
"","","","","",1418,,,""
1415,species,"162,1414",Canella winterana (L.) Gaertn.,"",,,,
